Transaction Collection Report

 Trans ID     Job#  Empl ID  OpersID   Start Date/Time    Stop Date/Time  Result
  125456      1869      128     5735  01/25/2010 05:44  01/25/2010 06:20  128621                 
  125488      1869      252     3332  01/25/2010 07:06  01/25/2010 07:28  128622                 
  125496      1869      128     5735  01/25/2010 07:24  01/25/2010 08:16  128623                 
  125535      1869      128     5735  01/25/2010 08:53  01/25/2010 09:20  128624                 
  124873      1871      133     6029  01/22/2010 08:03  01/22/2010 08:30  128625                 
  124979      1871      393     4771  01/23/2010 05:39  01/23/2010 05:59  128626                 
  125039      1871      133     6029  01/23/2010 06:53  01/23/2010 07:09  128627                 
  125044      1871      133     4786  01/23/2010 07:01  01/23/2010 07:01  128628                 
  125054      1871      134     4782  01/23/2010 07:18  01/23/2010 07:35  128629                 
  125127      1871      134     4786  01/23/2010 10:23  01/23/2010 10:23  128630                 
  125169      1871      393    20299  01/23/2010 20:49  01/23/2010 20:49  128631                 
  125172      1871      393    20299  01/23/2010 20:57  01/23/2010 20:57  128632                 
  125215      1871      134     6029  01/24/2010 04:30  01/24/2010 04:44  128633                 
  125266      1871      134     6029  01/24/2010 07:22  01/24/2010 08:13  128634                 
  125382      1871      252     4772  01/25/2010 03:18  01/25/2010 03:51  128635                 
  125417      1871      134     6029  01/25/2010 04:31  01/25/2010 04:43  128636                 
  125509      1871      134     6029  01/25/2010 07:47  01/25/2010 07:59  128637                 
  125569      1871      134     6029  01/25/2010 10:01  01/25/2010 10:18  128638                 
  125059      1873      330    20210  01/23/2010 07:28  01/23/2010 08:21  128639                 
  125064      1873      330    20208  01/23/2010 07:37  01/23/2010 07:37  128640                 
  125115      1873      393    20193  01/23/2010 09:26  01/23/2010 10:27  128641                 
  125120      1873      134    20210  01/23/2010 09:58  01/23/2010 10:50  128642                 
  125124      1873      134    20208  01/23/2010 10:20  01/23/2010 10:20  128643                 
  125178      1873      393    24204  01/23/2010 21:03  01/23/2010 21:03  128644                 
  125224      1873      134    20210  01/24/2010 05:13  01/24/2010 05:35  128645                 
  125310      1873      393    20193  01/24/2010 10:23  01/24/2010 10:50  128646                 
  125315      1873      393    24204  01/24/2010 10:55  01/24/2010 10:55  128647                 
  125394      1873      252    20194  01/25/2010 03:51  01/25/2010 04:12  128648                 
  125444      1873      134    20210  01/25/2010 05:16  01/25/2010 05:43  128649                 
  125545      1873      134    20210  01/25/2010 09:20  01/25/2010 09:56  128650                 
  124727      1874      560     3177  01/22/2010 03:51  01/22/2010 05:30  128651                 
  124900      1874      219     3182  01/23/2010 00:45  01/23/2010 01:51  128652                 
  124989      1874      133     5729  01/23/2010 05:49  01/23/2010 06:46  128653                 
  125029      1874      133     3196  01/23/2010 06:40  01/23/2010 06:40  128654                 
  125049      1874      133     5729  01/23/2010 07:09  01/23/2010 08:52  128655                 
  125084      1874      133     3196  01/23/2010 08:17  01/23/2010 08:17  128656                 
  125103      1874      252     3182  01/23/2010 09:02  01/23/2010 09:50  128657                 
  125238      1874      133     5729  01/24/2010 05:57  01/24/2010 06:59  128658                 
  125255      1874      133     3196  01/24/2010 06:46  01/24/2010 06:46  128659                 
  125298      1874      219     3182  01/24/2010 09:42  01/24/2010 10:23  128660                 
  125342      1874      219     3182  01/24/2010 18:07  01/24/2010 18:27  128661                 
  125473      1874      133     5729  01/25/2010 06:25  01/25/2010 07:03  128662                 
  125489      1874      393     3181  01/25/2010 07:07  01/25/2010 08:47  128663                 
  125507      1874      133     5729  01/25/2010 07:45  01/25/2010 09:29  128664                 
  125567      1874      334     3182  01/25/2010 09:59  01/25/2010 10:36  128665                 
  124862      1895      393    23349  01/22/2010 07:38  01/22/2010 08:24  128666                 
  125034      1895      319    23367  01/23/2010 06:46  01/23/2010 07:26  128667                 
  125083      1895      319    23364  01/23/2010 08:16  01/23/2010 08:16  128668                 
